ID	runtime
0	B
DPCh_plate2_A03_S99	1
DPCh_plate2_A04_S100	1
DPCh_plate2_B03_S107	1
DPCh_plate2_B04_S108	1
DPCh_plate2_C03_S115	1
DPCh_plate2_C04_S116	1
DPCh_plate2_D03_S123	1
DPCh_plate2_D04_S124	1
DPCh_plate2_E03_S131	1
DPCh_plate2_E04_S132	1
DPCh_plate2_F03_S139	1
DPCh_plate2_F04_S140	1
DPCh_plate2_G03_S147	1
DPCh_plate2_G04_S148	1
DPCh_plate2_H03_S155	1
DPCh_plate2_H04_S156	1
DPCh_plate1_A05_S5	0
DPCh_plate1_A06_S6	0
DPCh_plate1_B05_S17	0
DPCh_plate1_B06_S18	0
DPCh_plate1_C05_S29	0
DPCh_plate1_C06_S30	0
DPCh_plate1_D05_S41	0
DPCh_plate1_D06_S42	0
DPCh_plate1_E05_S53	0
DPCh_plate1_E06_S54	0
DPCh_plate1_F05_S65	0
DPCh_plate1_F06_S66	0
DPCh_plate1_G05_S77	0
DPCh_plate1_G06_S78	0
DPCh_plate1_H05_S89	0
DPCh_plate1_H06_S90	0
